categoryid,parentid
1016,213
809,169
570,9
1691,885
536,1691
231,
542,378
1146,542
1140,542
1479,1537
83,1621
688,893
257,312
1640,622
963,1281
412,1110
948,1110
934,1110
148,1110
12,1110
1459,1604
1039,1604
877,1604
28,1604
912,945
600,768
177,768
344,768
419,229
192,1181
1099,711
1212,711
527,73
1653,393
7,250
1252,250
874,1420
1122,1420
88,1101
365,1424
1587,1215
91,1215
1436,313
1185,583
1517,71
1159,71
1689,71
582,590
1309,590
632,590
259,71
454,71
1334,1550
237,1550
890,1550
915,1550
63,1550
898,763
840,488
1166,763
1194,763
232,763
824,232
1683,232
855,1591
800,383
1609,383
949,1591
1115,949
817,949
981,949
298,949
397,8
1230,8
681,8
1369,880
935,322
965,666
1242,1291
186,865
595,186
31,336
1381,336
1000,92
210,585
178,399
309,178
483,178
1682,399
701,1682
1551,1682
667,777
932,777
122,520
748,781
201,1453
614,571
757,252
717,866
428,1669
1217,630
556,1370
1379,609
1321,1618
1380,1618
1268,378
102,351
21,351
1570,351
1633,351
119,351
1457,1486
1414,854
128,945
303,945
909,1229
534,1009
1427,1259
1444,1490
740,1444
732,593
1547,732
458,732
136,732
601,732
418,1394
697,418
108,1687
1512,1687
32,1687
294,1687
68,1687
443,1687
906,1687
922,1687
79,1687
1044,1687
733,1687
853,1687
403,1687
1264,1687
1262,1658
41,1658
1612,216
698,1251
988,727
810,378
1172,810
606,810
967,378
604,894
1341,480
480,1299
1535,727
1513,1416
776,727
1537,727
81,1537
144,561
463,250
1621,395
1257,395
893,1615
75,893
751,893
1183,893
36,893
408,654
498,506
1129,900
578,1278
558,92
637,92
437,92
1610,92
607,312
1251,312
1087,622
718,622
1080,1281
297,312
540,140
1110,653
115,1110
1330,1110
94,1330
17,1604
962,945
1596,653
907,768
1562,351
351,653
782,1562
1447,351
1124,351
1270,351
1026,351
199,351
9,351
1295,9
1263,1637
386,1095
805,384
1173,805
792,805
1347,1458
445,1308
725,1519
589,1308
84,1308
1048,1308
1329,1519
1417,1329
1549,1329
149,1519
497,149
46,1519
597,1329
1239,351
610,1239
862,1667
1393,1383
469,1383
191,1383
183,540
16,585
860,1515
1368,540
1659,825
1178,540
1228,121
325,540
1645,1534
579,1371
1511,409
1486,140
131,1486
539,131
315,131
369,1486
802,369
1324,1181
856,1181
1314,1181
1499,351
895,1499
711,1486
1378,322
364,711
886,1486
1553,886
156,886
1023,886
1311,140
799,920
984,827
1616,827
1487,920
777,920
643,346
1265,1136
897,61
1098,897
1540,897
531,1058
845,1430
396,164
317,314
57,314
392,1202
293,1532
65,293
1445,293
986,1532
1171,938
330,986
562,986
1076,986
517,206
58,766
533,1299
416,1299
1492,107
450,1492
1409,1174
1174,107
360,1174
1038,1174
89,937
86,937
1266,293
801,766
1083,594
1376,480
290,207
333,1497
806,1497
56,1497
543,250
1116,1497
1188,1497
658,506
308,658
514,188
1130,1323
1323,1200
1396,1200
588,1396
1399,1396
1031,1200
516,1031
109,1031
746,1200
90,1156
1306,947
821,1012
1356,1306
1012,500
1576,1012
1395,1012
1068,947
914,226
1431,1066
457,250
678,250
1674,1420
538,1420
1365,538
1036,1420
708,1101
1424,679
421,1424
1139,679
310,1139
1143,1424
511,724
553,1424
1008,1424
992,1008
245,1424
1231,901
368,901
1454,1596
844,1458
815,1027
1113,1145
324,1145
1043,226
50,312
127,312
1253,127
1047,127
652,127
1456,127
884,127
484,127
1300,127
352,859
590,71
77,590
1453,71
1193,1453
526,1453
359,1579
1550,359
1675,1550
475,1550
763,1579
488,763
726,488
608,763
1468,1136
1591,1579
910,1591
925,1591
918,383
1460,1591
989,1579
843,880
1029,1181
1559,989
1094,131
1524,1559
1232,1559
322,1486
234,322
649,696
666,989
211,666
415,666
468,666
1211,989
78,1211
865,1579
194,865
863,194
1175,865
1536,1175
729,1175
1518,865
842,1518
436,1518
829,1518
1651,1579
1223,1651
1283,1651
1590,336
1632,885
1478,1632
1433,312
2,312
1169,92
1681,568
1514,920
1630,663
399,663
693,1630
453,1630
1075,399
1025,1075
521,654
705,1487
775,763
998,653
1485,250
22,1550
1666,1684
818,852
1606,1684
683,1606
520,1606
873,520
676,479
875,479
876,580
1073,580
1179,580
1207,580
942,125
1220,125
1273,125
426,872
268,138
1575,138
944,950
569,426
1625,1141
1141,55
969,1141
1236,1141
406,872
1107,1600
1041,1313
394,1041
1413,1313
1033,571
571,1107
465,571
804,187
187,1313
997,187
1053,187
1392,1041
1243,1107
684,1041
216,1107
783,216
1088,287
425,55
23,640
1677,896
1111,835
1322,252
252,872
1091,573
493,1331
1018,1331
789,14
1573,14
1117,14
1184,14
892,14
1635,866
866,803
93,866
888,866
964,1326
1326,803
1614,1326
51,955
1086,250
213,1299
772,213
692,213
1669,250
1440,1669
779,1669
814,1669
1560,293
1662,630
630,679
752,630
1385,1202
797,213
764,1370
1370,1107
836,1370
448,609
609,1107
787,609
1451,609
505,334
379,334
135,1618
544,1168
1168,736
723,995
1631,657
169,1257
1004,169
1498,580
504,378
327,92
1234,92
1340,101
979,1383
774,620
634,226
677,226
438,312
661,127
730,1482
228,1482
593,1482
1472,605
0,605
927,605
1578,1249
1249,1482
972,1249
1555,1249
1221,1426
1426,1482
1528,1426
292,1426
987,1426
242,1531
911,1531
703,1531
1663,1398
1398,1482
277,1398
1480,1398
1,854
854,1482
1286,854
320,854
225,593
1247,593
1429,593
545,143
263,143
366,143
921,143
270,143
936,143
1037,402
1165,402
879,1482
1256,879
1320,879
956,879
1697,623
1237,623
529,623
220,795
970,275
710,605
398,1323
1695,250
1246,945
1001,945
1052,945
1404,593
451,945
1567,1531
1082,866
163,945
153,1331
791,
587,791
769,587
1680,587
1255,587
1362,587
1161,587
1423,791
1250,1423
1405,1423
759,1423
155,1423
1070,1423
227,602
1133,602
1533,602
1229,791
870,1229
1019,1229
461,1229
765,1229
433,1229
1410,1495
1358,1009
198,1009
501,1009
1556,1009
741,362
508,362
512,362
1432,362
1069,362
1577,362
598,362
492,362
952,362
350,362
111,362
518,362
1061,1259
1259,431
389,1259
166,1259
996,1259
1271,1259
472,1259
1408,1259
882,1259
1210,1259
311,1259
179,1259
1245,1259
1525,1490
1448,145
1132,381
902,866
481,1009
1510,1009
354,1009
635,1229
485,1335
1522,1009
264,1009
1287,1009
376,48
694,561
452,561
1687,1335
749,1687
278,362
1552,1259
1471,339
1074,339
184,1009
284,1009
728,1009
674,362
150,1259
537,229
1316,1306
258,1139
420,250
672,1120
1199,1215
1520,245
1332,1490
826,346
442,1632
1056,1579
1010,755
1203,755
1439,755
1694,1621
387,1621
999,1621
1233,1257
337,653
771,1251
722,1110
43,945
568,384
142,9
626,955
1213,955
586,1519
700,95
1011,745
1390,121
239,1515
1015,131
1035,920
1558,323
1434,1136
120,897
686,594
575,1257
953,506
1032,557
1664,1156
881,1012
901,679
1218,203
712,1453
1196,1181
388,880
592,989
633,568
1496,968
786,520
682,938
1628,605
1605,1531
222,561
913,418
207,1490
584,709
625,9
1180,1239
668,1239
1144,1239
477,1596
916,9
1059,1696
410,894
943,810
924,1416
1580,441
25,1490
158,1621
241,893
372,654
837,654
1344,713
1338,1278
319,92
849,1281
3,1281
1670,1458
302,1458
1464,745
196,1667
1055,183
1258,1386
1509,620
238,250
471,1368
739,1181
1298,335
1208,827
331,1487
685,908
719,908
1588,897
124,104
172,1290
249,164
53,1202
342,500
48,500
565,500
499,986
1477,206
35,20
295,20
1282,25
247,557
530,432
282,113
846,1012
891,1012
546,250
642,250
1623,1066
74,250
655,1066
1120,250
1613,250
1539,990
550,1139
202,1008
357,1065
1042,1065
1045,1065
1655,727
1277,312
1355,312
1333,127
1461,1215
1204,1215
1359,1215
417,1215
560,313
559,313
833,901
62,383
291,880
1526,1621
510,908
27,557
926,852
646,1606
1279,1606
1049,1606
1054,520
1603,520
665,520
636,479
1503,580
549,781
1151,781
1373,872
1040,1516
1565,1481
883,1481
296,55
1521,55
581,1600
233,630
1676,1618
868,169
1147,1027
1244,500
429,113
